,Algorithm,Training size,N hits wanted,N hits explored
0,morgan_feat,5000,50000,344329
1,morgan_feat,10000,50000,336375
2,morgan_feat,20000,50000,324524
3,morgan_feat,40000,50000,310417
4,morgan_feat,80000,50000,336111
5,morgan_feat,160000,50000,380939
6,morgan_feat,320000,50000,506687
7,morgan_feat,640000,50000,801795
8,morgan_feat,1280000,50000,1419876
9,morgan_feat,2560000,50000,2675204
10,morgan_feat,5000,100000,925661
11,morgan_feat,10000,100000,884846
12,morgan_feat,20000,100000,760983
13,morgan_feat,40000,100000,661794
14,morgan_feat,80000,100000,674695
15,morgan_feat,160000,100000,704185
16,morgan_feat,320000,100000,782183
17,morgan_feat,640000,100000,1043060
18,morgan_feat,1280000,100000,1642015
19,morgan_feat,2560000,100000,2879192
20,morgan_feat,5000,150000,1550510
21,morgan_feat,10000,150000,1521830
22,morgan_feat,20000,150000,1446115
23,morgan_feat,40000,150000,1280795
24,morgan_feat,80000,150000,1198564
25,morgan_feat,160000,150000,1164833
26,morgan_feat,320000,150000,1221563
27,morgan_feat,640000,150000,1421516
28,morgan_feat,1280000,150000,1967853
29,morgan_feat,2560000,150000,3178783
30,morgan_feat,5000,200000,2955854
31,morgan_feat,10000,200000,2541541
32,morgan_feat,20000,200000,2355500
33,morgan_feat,40000,200000,1972800
34,morgan_feat,80000,200000,1848854
35,morgan_feat,160000,200000,1795694
36,morgan_feat,320000,200000,1804942
37,morgan_feat,640000,200000,1957273
38,morgan_feat,1280000,200000,2466828
39,morgan_feat,2560000,200000,3632603
40,morgan_feat,5000,50000,356073
41,morgan_feat,10000,50000,329394
42,morgan_feat,20000,50000,338673
43,morgan_feat,40000,50000,312439
44,morgan_feat,80000,50000,325205
45,morgan_feat,160000,50000,371133
46,morgan_feat,320000,50000,501417
47,morgan_feat,640000,50000,796357
48,morgan_feat,1280000,50000,1417731
49,morgan_feat,2560000,50000,2674410
50,morgan_feat,5000,100000,963828
51,morgan_feat,10000,100000,816796
52,morgan_feat,20000,100000,758859
53,morgan_feat,40000,100000,734093
54,morgan_feat,80000,100000,704545
55,morgan_feat,160000,100000,710873
56,morgan_feat,320000,100000,795198
57,morgan_feat,640000,100000,1052938
58,morgan_feat,1280000,100000,1645322
59,morgan_feat,2560000,100000,2878395
60,morgan_feat,5000,150000,1755918
61,morgan_feat,10000,150000,1744018
62,morgan_feat,20000,150000,1394320
63,morgan_feat,40000,150000,1282663
64,morgan_feat,80000,150000,1144892
65,morgan_feat,160000,150000,1110777
66,morgan_feat,320000,150000,1178953
67,morgan_feat,640000,150000,1401556
68,morgan_feat,1280000,150000,1963713
69,morgan_feat,2560000,150000,3174718
70,morgan_feat,5000,200000,2674839
71,morgan_feat,10000,200000,2361335
72,morgan_feat,20000,200000,2229416
73,morgan_feat,40000,200000,2186024
74,morgan_feat,80000,200000,1844554
75,morgan_feat,160000,200000,1744138
76,morgan_feat,320000,200000,1736563
77,morgan_feat,640000,200000,1911821
78,morgan_feat,1280000,200000,2454408
79,morgan_feat,2560000,200000,3629992
80,morgan_feat,5000,50000,384781
81,morgan_feat,10000,50000,410835
82,morgan_feat,20000,50000,342603
83,morgan_feat,40000,50000,325796
84,morgan_feat,80000,50000,329532
85,morgan_feat,160000,50000,373667
86,morgan_feat,320000,50000,498938
87,morgan_feat,640000,50000,800257
88,morgan_feat,1280000,50000,1414976
89,morgan_feat,2560000,50000,2674262
90,morgan_feat,5000,100000,1039155
91,morgan_feat,10000,100000,807614
92,morgan_feat,20000,100000,741050
93,morgan_feat,40000,100000,684578
94,morgan_feat,80000,100000,684433
95,morgan_feat,160000,100000,695293
96,morgan_feat,320000,100000,778416
97,morgan_feat,640000,100000,1045061
98,morgan_feat,1280000,100000,1640733
99,morgan_feat,2560000,100000,2879418
100,morgan_feat,5000,150000,1539112
101,morgan_feat,10000,150000,1289590
102,morgan_feat,20000,150000,1300683
103,morgan_feat,40000,150000,1160184
104,morgan_feat,80000,150000,1150591
105,morgan_feat,160000,150000,1138094
106,morgan_feat,320000,150000,1183804
107,morgan_feat,640000,150000,1415235
108,morgan_feat,1280000,150000,1972052
109,morgan_feat,2560000,150000,3175958
110,morgan_feat,5000,200000,2144191
111,morgan_feat,10000,200000,2141253
112,morgan_feat,20000,200000,2160221
113,morgan_feat,40000,200000,2008074
114,morgan_feat,80000,200000,1853942
115,morgan_feat,160000,200000,1762290
116,morgan_feat,320000,200000,1751264
117,morgan_feat,640000,200000,1924092
118,morgan_feat,1280000,200000,2462034
119,morgan_feat,2560000,200000,3630749
