,Algorithm,Training size,N ligands explored,% top-k found
0,morgan_feat,400000,400000,0.00338948056640457
1,morgan_feat,400000,800000,0.25791022177870304
2,morgan_feat,400000,1200000,0.4230312623664424
3,morgan_feat,400000,1600000,0.5371552450921354
4,morgan_feat,400000,2000000,0.6004542248068684
5,morgan_feat,400000,2400000,0.6484059118046833
6,morgan_feat,200000,200000,0.0019098088470604429
7,morgan_feat,200000,400000,0.15539994150135064
8,morgan_feat,200000,600000,0.2818086405946216
9,morgan_feat,200000,800000,0.3827188107568693
10,morgan_feat,200000,1000000,0.4547581769067979
11,morgan_feat,200000,1200000,0.5085253178713374
12,morgan_feat,100000,100000,0.000808657800106674
13,morgan_feat,100000,200000,0.07874950534230313
14,morgan_feat,100000,300000,0.16735775365186423
15,morgan_feat,100000,400000,0.2498580547478536
16,morgan_feat,100000,500000,0.3148603774883433
17,morgan_feat,100000,600000,0.36547891467799937
18,morgan_feat,400000,400000,0.0036991792983603173
19,morgan_feat,400000,800000,0.2515097813182843
20,morgan_feat,400000,1200000,0.41470380757385455
21,morgan_feat,400000,1600000,0.5237177612222776
22,morgan_feat,400000,2000000,0.5956366889764457
23,morgan_feat,400000,2400000,0.6441389514977375
24,morgan_feat,200000,200000,0.002047452727929664
25,morgan_feat,200000,400000,0.13065845391510814
26,morgan_feat,200000,600000,0.2703497875122589
27,morgan_feat,200000,800000,0.37224067032569985
28,morgan_feat,200000,1000000,0.44551883140345144
29,morgan_feat,200000,1200000,0.5035529326749367
30,morgan_feat,100000,100000,0.0010151236214105057
31,morgan_feat,100000,200000,0.056932950224531584
32,morgan_feat,100000,300000,0.16142186128937905
33,morgan_feat,100000,400000,0.24404260078112902
34,morgan_feat,100000,500000,0.3065673336659727
35,morgan_feat,100000,600000,0.35887200839627675
36,morgan_feat,400000,400000,0.0034583025068391803
37,morgan_feat,400000,800000,0.2630030453708642
38,morgan_feat,400000,1200000,0.43058447032914093
39,morgan_feat,400000,1600000,0.5392371087902823
40,morgan_feat,400000,2000000,0.6052029386968566
41,morgan_feat,400000,2400000,0.6516749539753274
42,morgan_feat,200000,200000,0.0019270143321690955
43,morgan_feat,200000,400000,0.14339051289551108
44,morgan_feat,200000,600000,0.2892758211317768
45,morgan_feat,200000,800000,0.39667245917998656
46,morgan_feat,200000,1000000,0.4646513308442732
47,morgan_feat,200000,1200000,0.514633265084909
48,morgan_feat,100000,100000,0.0009463016809758951
49,morgan_feat,100000,200000,0.06653361091515975
50,morgan_feat,100000,300000,0.16677276715817002
51,morgan_feat,100000,400000,0.2560348239018599
52,morgan_feat,100000,500000,0.3259579153834242
53,morgan_feat,100000,600000,0.373668725589718
