,Algorithm,Training size,N hits wanted,N hits explored
0,morgan_feat,5000,50000,1828207
1,morgan_feat,10000,50000,1709895
2,morgan_feat,20000,50000,1304008
3,morgan_feat,40000,50000,991396
4,morgan_feat,80000,50000,735027
5,morgan_feat,160000,50000,632774
6,morgan_feat,320000,50000,695824
7,morgan_feat,640000,50000,933806
8,morgan_feat,1280000,50000,1512302
9,morgan_feat,2560000,50000,2751629
10,morgan_feat,5000,100000,4922599
11,morgan_feat,10000,100000,3508388
12,morgan_feat,20000,100000,2924061
13,morgan_feat,40000,100000,2176083
14,morgan_feat,80000,100000,1836107
15,morgan_feat,160000,100000,1480925
16,morgan_feat,320000,100000,1420874
17,morgan_feat,640000,100000,1545100
18,morgan_feat,1280000,100000,2043012
19,morgan_feat,2560000,100000,3193733
20,morgan_feat,5000,150000,10431823
21,morgan_feat,10000,150000,7840494
22,morgan_feat,20000,150000,5456465
23,morgan_feat,40000,150000,4518510
24,morgan_feat,80000,150000,3845341
25,morgan_feat,160000,150000,3147567
26,morgan_feat,320000,150000,2676766
27,morgan_feat,640000,150000,2552225
28,morgan_feat,1280000,150000,2913451
29,morgan_feat,2560000,150000,3973290
30,morgan_feat,5000,200000,15556345
31,morgan_feat,10000,200000,14036712
32,morgan_feat,20000,200000,9326435
33,morgan_feat,40000,200000,7923825
34,morgan_feat,80000,200000,6559774
35,morgan_feat,160000,200000,5486333
36,morgan_feat,320000,200000,4679698
37,morgan_feat,640000,200000,4259644
38,morgan_feat,1280000,200000,4437705
39,morgan_feat,2560000,200000,5303498
40,morgan_feat,5000,50000,1315594
41,morgan_feat,10000,50000,981316
42,morgan_feat,20000,50000,988498
43,morgan_feat,40000,50000,786993
44,morgan_feat,80000,50000,625896
45,morgan_feat,160000,50000,617455
46,morgan_feat,320000,50000,674928
47,morgan_feat,640000,50000,919955
48,morgan_feat,1280000,50000,1513741
49,morgan_feat,2560000,50000,2752796
50,morgan_feat,5000,100000,5364188
51,morgan_feat,10000,100000,4163804
52,morgan_feat,20000,100000,3509298
53,morgan_feat,40000,100000,2437639
54,morgan_feat,80000,100000,1985237
55,morgan_feat,160000,100000,1565991
56,morgan_feat,320000,100000,1426455
57,morgan_feat,640000,100000,1542619
58,morgan_feat,1280000,100000,2036777
59,morgan_feat,2560000,100000,3197706
60,morgan_feat,5000,150000,7072548
61,morgan_feat,10000,150000,6413482
62,morgan_feat,20000,150000,5506492
63,morgan_feat,40000,150000,4675867
64,morgan_feat,80000,150000,4063144
65,morgan_feat,160000,150000,3063829
66,morgan_feat,320000,150000,2661294
67,morgan_feat,640000,150000,2539543
68,morgan_feat,1280000,150000,2890163
69,morgan_feat,2560000,150000,3962208
70,morgan_feat,5000,200000,19721144
71,morgan_feat,10000,200000,14043470
72,morgan_feat,20000,200000,10221872
73,morgan_feat,40000,200000,8608794
74,morgan_feat,80000,200000,7000240
75,morgan_feat,160000,200000,5407723
76,morgan_feat,320000,200000,4624839
77,morgan_feat,640000,200000,4307889
78,morgan_feat,1280000,200000,4388946
79,morgan_feat,2560000,200000,5268461
80,morgan_feat,5000,50000,1375438
81,morgan_feat,10000,50000,1090323
82,morgan_feat,20000,50000,1113957
83,morgan_feat,40000,50000,928240
84,morgan_feat,80000,50000,697023
85,morgan_feat,160000,50000,619049
86,morgan_feat,320000,50000,664704
87,morgan_feat,640000,50000,921331
88,morgan_feat,1280000,50000,1515269
89,morgan_feat,2560000,50000,2751580
90,morgan_feat,5000,100000,5313809
91,morgan_feat,10000,100000,3437433
92,morgan_feat,20000,100000,2791869
93,morgan_feat,40000,100000,2312279
94,morgan_feat,80000,100000,1839235
95,morgan_feat,160000,100000,1524966
96,morgan_feat,320000,100000,1417273
97,morgan_feat,640000,100000,1538061
98,morgan_feat,1280000,100000,2033211
99,morgan_feat,2560000,100000,3192312
100,morgan_feat,5000,150000,7633048
101,morgan_feat,10000,150000,7130976
102,morgan_feat,20000,150000,5561861
103,morgan_feat,40000,150000,4291690
104,morgan_feat,80000,150000,3549169
105,morgan_feat,160000,150000,2986418
106,morgan_feat,320000,150000,2604876
107,morgan_feat,640000,150000,2549132
108,morgan_feat,1280000,150000,2892659
109,morgan_feat,2560000,150000,3947925
110,morgan_feat,5000,200000,15568463
111,morgan_feat,10000,200000,15114089
112,morgan_feat,20000,200000,11102076
113,morgan_feat,40000,200000,8429079
114,morgan_feat,80000,200000,6433748
115,morgan_feat,160000,200000,5443631
116,morgan_feat,320000,200000,4685922
117,morgan_feat,640000,200000,4303896
118,morgan_feat,1280000,200000,4401979
119,morgan_feat,2560000,200000,5260605
