,Algorithm,Training size,N ligands explored,% top-k found
0,morgan_feat,400000,400000,0.00406
1,morgan_feat,400000,800000,0.41796
2,morgan_feat,400000,1200000,0.69072
3,morgan_feat,400000,1600000,0.81326
4,morgan_feat,400000,2000000,0.87818
5,morgan_feat,400000,2400000,0.91494
6,morgan_feat,200000,200000,0.002
7,morgan_feat,200000,400000,0.22608
8,morgan_feat,200000,600000,0.47548
9,morgan_feat,200000,800000,0.60672
10,morgan_feat,200000,1000000,0.68996
11,morgan_feat,200000,1200000,0.74872
12,morgan_feat,100000,100000,0.00098
13,morgan_feat,100000,200000,0.11544
14,morgan_feat,100000,300000,0.27122
15,morgan_feat,100000,400000,0.411
16,morgan_feat,100000,500000,0.50292
17,morgan_feat,100000,600000,0.5705
18,morgan_feat,400000,400000,0.00466
19,morgan_feat,400000,800000,0.41448
20,morgan_feat,400000,1200000,0.68768
21,morgan_feat,400000,1600000,0.81378
22,morgan_feat,400000,2000000,0.8802
23,morgan_feat,400000,2400000,0.91574
24,morgan_feat,200000,200000,0.00246
25,morgan_feat,200000,400000,0.2298
26,morgan_feat,200000,600000,0.47332
27,morgan_feat,200000,800000,0.61464
28,morgan_feat,200000,1000000,0.70188
29,morgan_feat,200000,1200000,0.76632
30,morgan_feat,100000,100000,0.0014
31,morgan_feat,100000,200000,0.11382
32,morgan_feat,100000,300000,0.28164
33,morgan_feat,100000,400000,0.41388
34,morgan_feat,100000,500000,0.50206
35,morgan_feat,100000,600000,0.56448
36,morgan_feat,400000,400000,0.0041
37,morgan_feat,400000,800000,0.39648
38,morgan_feat,400000,1200000,0.68978
39,morgan_feat,400000,1600000,0.81364
40,morgan_feat,400000,2000000,0.87888
41,morgan_feat,400000,2400000,0.91678
42,morgan_feat,200000,200000,0.00186
43,morgan_feat,200000,400000,0.22182
44,morgan_feat,200000,600000,0.47356
45,morgan_feat,200000,800000,0.61224
46,morgan_feat,200000,1000000,0.6956
47,morgan_feat,200000,1200000,0.7578
48,morgan_feat,100000,100000,0.00092
49,morgan_feat,100000,200000,0.10498
50,morgan_feat,100000,300000,0.2667
51,morgan_feat,100000,400000,0.37898
52,morgan_feat,100000,500000,0.4676
53,morgan_feat,100000,600000,0.53776
